ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
95,"John ""Jack"" Conger",M,21,193,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
96,"Edward ""Ed"" Coode",M,29,193,96,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Gold
97,Iztok op,M,28,190,89,Slovenia,SLO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Double Sculls,Gold
98,"Katherine Sarah ""Kat"" Copeland",F,21,172,58,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Lightweight Double Sculls,Gold
99,Kevin Cordes,M,22,196,88,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
100,Natalie Anne Coughlin (-Hall),F,21,173,63,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
101,Natalie Anne Coughlin (-Hall),F,21,173,63,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,Gold
102,Natalie Anne Coughlin (-Hall),F,25,173,63,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,Gold
103,Alicia Jayne Coutts,F,24,176,69,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
104,Kirsty Leigh Coventry (-Seward),F,20,176,64,Zimbabwe,ZIM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Gold
105,Kirsty Leigh Coventry (-Seward),F,24,176,64,Zimbabwe,ZIM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Backstroke,Gold
106,James Edward Cracknell,M,28,192,100,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
107,"Kameryn Louise ""Kami"" Craig",F,25,181,88,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
108,"Kameryn Louise ""Kami"" Craig",F,29,181,88,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
109,Sal Craviotto Rivero,M,23,192,98,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
110,David William Crawshay,M,28,191,89,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold
111,Ian Lowell Crocker,M,21,193,86,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
112,Ian Lowell Crocker,M,25,193,86,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
113,Tamara Csipes,F,26,176,78,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
114,Milo uk,M,25,191,91,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
115,Georgeta Damian-Andrunache,F,24,178,75,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxless Pairs,Gold
116,Georgeta Damian-Andrunache,F,24,178,75,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
117,Georgeta Damian-Andrunache,F,28,178,75,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxless Pairs,Gold
118,Georgeta Damian-Andrunache,F,28,178,75,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
119,Lara Shiree Davenport,F,24,174,63,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
120,Caryn Davies,F,26,193,82,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
121,Anastasiya Semyonovna Davydova,F,21,170,54,Russia,RUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
122,Anastasiya Semyonovna Davydova,F,21,170,54,Russia,RUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
123,Anastasiya Semyonovna Davydova,F,25,170,54,Russia,RUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
124,Anastasiya Semyonovna Davydova,F,25,170,54,Russia,RUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
125,Anastasiya Semyonovna Davydova,F,29,170,54,Russia,RUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
126,Inge de Bruijn,F,27,174,55,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,Gold
127,Inge de Bruijn,F,27,174,55,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Freestyle,Gold
128,Inge de Bruijn,F,27,174,55,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,Gold
129,Matt Deakin,M,24,193,90,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
130,Inge Dekker,F,22,183,67,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
131,Simon John Dennis,M,24,200,95,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
132,Tania Di Mario,F,25,168,62,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
133,Tina Dietze,F,24,172,68,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
134,"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
135,"Madeline Jane ""Maya"" DiRado",F,23,175,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Gold
136,Andreas Dittmer,M,28,183,83,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
137,Nika Dobud,M,26,199,118,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
138,"Thomas Fitzgerald ""Tom"" Dolan",M,24,201,86,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,Gold
139,Rudolf Dombi,M,25,180,79,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
140,Claire Christine Donahue,F,23,170,63,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
141,Xavier Elle Dorfman,M,27,182,71,France,FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
142,Natasa Douchev-Janics,F,22,174,68,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
143,Natasa Douchev-Janics,F,22,174,68,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
144,Natasa Douchev-Janics,F,26,174,68,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
145,Rowley Douglas,M,23,165,58,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
146,Nataliya Viktorivna Dovhodko,F,21,186,78,Ukraine,UKR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Gold
147,Annika Elise Madsen Dries,F,20,185,89,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
148,Maria Magdalena Dumitrache,F,23,187,83,Romania,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
149,Scott David Durant,M,28,196,96,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
150,Conor James Dwyer,M,23,196,89,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
151,Conor James Dwyer,M,27,196,89,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
152,Aleksandr Igorevich Dyachenko,M,22,180,85,Russia,RUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
153,Tmara Echegoyen Domnguez,F,28,174,70,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
154,Amanda Elmore,F,25,180,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
155,Brittany Joyce Elmslie,F,22,179,73,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
156,Tony Estanguet,M,22,185,75,France,FRA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
157,Tony Estanguet,M,26,185,75,France,FRA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
158,Meike Evers,F,23,185,76,Germany,GER,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Gold
159,Meike Evers,F,27,185,76,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
160,Caroline Frances Evers-Swindell (-Meyer),F,25,178,76,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
161,Caroline Frances Evers-Swindell (-Meyer),F,29,178,76,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,Gold
162,Georgina Emma Buchanan Evers-Swindell (-Earl),F,25,178,78,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Double Sculls,Gold
163,Georgina Emma Buchanan Evers-Swindell (-Earl),F,29,178,78,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Double Sculls,Gold
164,Rachel Fattal,F,22,173,65,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
165,Sergey Anatolyevich Fedorovtsev,M,24,195,90,Russia,RUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Quadruple Sculls,Gold
166,"James ""Jimmy"" Feigen",M,26,196,98,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
167,Emilie Fer,F,29,170,63,France,FRA,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
168,Xabier Fernndez Gaztaaga,M,27,181,81,Spain,ESP,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Skiff,Gold
169,Lyndon Ferns,M,20,187,87,South Africa,RSA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
170,Filip Filipovi,M,29,196,101,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
171,Domenico Fioravanti,M,23,179,76,Italy,ITA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,Gold
172,Domenico Fioravanti,M,23,179,76,Italy,ITA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Breaststroke,Gold
173,Fanny Fischer,F,21,175,63,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
174,Rodica Maria Florea-erban,F,21,183,73,Romania,ROU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
175,Rajmund Fodor,M,24,190,94,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
