GameId,Games,Year,Season,City
433,2016 Summer,2016,Summer,Rio de Janeiro
434,2012 Summer,2012,Summer,London
435,2012 Summer,2012,Summer,London
436,2004 Summer,2004,Summer,Athina
437,2016 Summer,2016,Summer,Rio de Janeiro
438,2004 Summer,2004,Summer,Athina
439,2016 Summer,2016,Summer,Rio de Janeiro
440,2004 Summer,2004,Summer,Athina
441,2004 Summer,2004,Summer,Athina
442,2000 Summer,2000,Summer,Sydney
443,2004 Summer,2004,Summer,Athina
444,2012 Summer,2012,Summer,London
445,2000 Summer,2000,Summer,Sydney
446,2008 Summer,2008,Summer,Beijing
447,2004 Summer,2004,Summer,Athina
448,2008 Summer,2008,Summer,Beijing
449,2012 Summer,2012,Summer,London
450,2008 Summer,2008,Summer,Beijing
451,2000 Summer,2000,Summer,Sydney
452,2016 Summer,2016,Summer,Rio de Janeiro
453,2004 Summer,2004,Summer,Athina
454,2008 Summer,2008,Summer,Beijing
455,2012 Summer,2012,Summer,London
456,2016 Summer,2016,Summer,Rio de Janeiro
457,2016 Summer,2016,Summer,Rio de Janeiro
458,2000 Summer,2000,Summer,Sydney
459,2000 Summer,2000,Summer,Sydney
460,2016 Summer,2016,Summer,Rio de Janeiro
461,2004 Summer,2004,Summer,Athina
462,2004 Summer,2004,Summer,Athina
463,2004 Summer,2004,Summer,Athina
464,2008 Summer,2008,Summer,Beijing
465,2008 Summer,2008,Summer,Beijing
466,2008 Summer,2008,Summer,Beijing
467,2004 Summer,2004,Summer,Athina
468,2000 Summer,2000,Summer,Sydney
469,2012 Summer,2012,Summer,London
470,2008 Summer,2008,Summer,Beijing
471,2000 Summer,2000,Summer,Sydney
472,2004 Summer,2004,Summer,Athina
473,2008 Summer,2008,Summer,Beijing
474,2008 Summer,2008,Summer,Beijing
475,2008 Summer,2008,Summer,Beijing
476,2008 Summer,2008,Summer,Beijing
477,2008 Summer,2008,Summer,Beijing
478,2008 Summer,2008,Summer,Beijing
479,2008 Summer,2008,Summer,Beijing
480,2008 Summer,2008,Summer,Beijing
481,2008 Summer,2008,Summer,Beijing
482,2012 Summer,2012,Summer,London
483,2012 Summer,2012,Summer,London
484,2012 Summer,2012,Summer,London
485,2012 Summer,2012,Summer,London
486,2016 Summer,2016,Summer,Rio de Janeiro
487,2000 Summer,2000,Summer,Sydney
488,2000 Summer,2000,Summer,Sydney
489,2004 Summer,2004,Summer,Athina
490,2000 Summer,2000,Summer,Sydney
491,2000 Summer,2000,Summer,Sydney
492,2012 Summer,2012,Summer,London
493,2004 Summer,2004,Summer,Athina
494,2012 Summer,2012,Summer,London
495,2000 Summer,2000,Summer,Sydney
496,2016 Summer,2016,Summer,Rio de Janeiro
497,2016 Summer,2016,Summer,Rio de Janeiro
498,2012 Summer,2012,Summer,London
499,2008 Summer,2008,Summer,Beijing
500,2008 Summer,2008,Summer,Beijing
501,2012 Summer,2012,Summer,London
502,2004 Summer,2004,Summer,Athina
503,2000 Summer,2000,Summer,Sydney
504,2016 Summer,2016,Summer,Rio de Janeiro
505,2004 Summer,2004,Summer,Athina
506,2004 Summer,2004,Summer,Athina
507,2008 Summer,2008,Summer,Beijing
508,2008 Summer,2008,Summer,Beijing
509,2008 Summer,2008,Summer,Beijing
510,2016 Summer,2016,Summer,Rio de Janeiro
511,2012 Summer,2012,Summer,London
512,2008 Summer,2008,Summer,Beijing
513,2016 Summer,2016,Summer,Rio de Janeiro
514,2016 Summer,2016,Summer,Rio de Janeiro
515,2008 Summer,2008,Summer,Beijing
516,2008 Summer,2008,Summer,Beijing
