27,"Barbara Jane ""B. J."" Bedford (-Miller)",F,27,172,61,Gold,Swimming Women's 4 x 100 metres Medley Relay,USA,2000 Summer
28,"Daniel ""Dan"" Beery",M,29,200,97,Gold,Rowing Men's Coxed Eights,USA,2004 Summer
29,Sofia Bekatorou (-Kosmatopoulos),F,26,172,62,Gold,Sailing Women's Two Person Dinghy,GRE,2004 Summer
30,Mathew Belcher,M,29,173,62,Gold,Sailing Men's Two Person Dinghy,AUS,2012 Summer
31,Mireia Belmonte Garca,F,25,170,59,Gold,Swimming Women's 200 metres Butterfly,ESP,2016 Summer
32,Tibor Benedek,M,28,190,96,Gold,Water Polo Men's Water Polo,HUN,2000 Summer
33,Lindsay Dianne Benko (-Mintenko),F,23,185,74,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2000 Summer
34,Lindsay Dianne Benko (-Mintenko),F,27,185,74,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2004 Summer
35,Brooke Marie Bennett (-Frioud),F,20,165,57,Gold,Swimming Women's 400 metres Freestyle,USA,2000 Summer
36,Brooke Marie Bennett (-Frioud),F,20,165,57,Gold,Swimming Women's 800 metres Freestyle,USA,2000 Summer
37,Paul Bennett,M,27,207,100,Gold,Rowing Men's Coxed Eights,GBR,2016 Summer
38,"Joseph ""Gunnar"" Bentz",M,20,196,84,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2016 Summer
39,"Richard ""Ricky"" Berens",M,20,188,93,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2008 Summer
40,"Richard ""Ricky"" Berens",M,24,188,93,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2012 Summer
41,Alain Andr Louis Edmond Bernard,M,25,196,90,Gold,Swimming Men's 100 metres Freestyle,FRA,2008 Summer
42,Alain Andr Louis Edmond Bernard,M,29,196,90,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,FRA,2012 Summer
43,Jean-Christophe Bette,M,22,186,72,Gold,Rowing Men's Lightweight Coxless Fours,FRA,2000 Summer
44,Thomas Bimis,M,29,169,69,Gold,Diving Men's Synchronized Springboard,GRE,2004 Summer
45,Pter Biros,M,24,196,102,Gold,Water Polo Men's Water Polo,HUN,2000 Summer
46,Pter Biros,M,28,196,102,Gold,Water Polo Men's Water Polo,HUN,2004 Summer
47,"Kimberly A. ""Kim"" Black",F,21,168,60,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2000 Summer
48,Henrik Blakskjr,M,29,194,90,Gold,Sailing Mixed Three Person Keelboat,DEN,2000 Summer
49,Pernille Blume,F,22,170,58,Gold,Swimming Women's 50 metres Freestyle,DEN,2016 Summer
52,Hamish Byron Bond,M,26,189,89,Gold,Rowing Men's Coxless Pairs,NZL,2012 Summer
53,Miho Bokovi,M,29,196,96,Gold,Water Polo Men's Water Polo,CRO,2012 Summer
54,Silvia Bosurgi,F,25,164,59,Gold,Water Polo Women's Water Polo,ITA,2004 Summer
55,David Alasdair Boudia,M,23,175,73,Gold,Diving Men's Platform,USA,2012 Summer
56,Marit Bouwmeester,F,28,177,68,Gold,Sailing Women's One Person Dinghy,NED,2016 Summer
71,Erin Jane Cafaro (-McKenzie),F,25,175,73,Gold,Rowing Women's Coxed Eights,USA,2008 Summer
72,Erin Jane Cafaro (-McKenzie),F,29,175,73,Gold,Rowing Women's Coxed Eights,USA,2012 Summer
599,dm Steinmetz,M,24,198,104,Gold,Water Polo Men's Water Polo,HUN,2004 Summer
600,Barnabs Steinmetz,M,24,196,98,Gold,Water Polo Men's Water Polo,HUN,2000 Summer
601,Barnabs Steinmetz,M,28,196,98,Gold,Water Polo Men's Water Polo,HUN,2004 Summer
632,Petria Ann Thomas (-Jones),F,28,173,64,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2004 Summer
633,Petria Ann Thomas (-Jones),F,28,173,64,Gold,Swimming Women's 100 metres Butterfly,AUS,2004 Summer
634,Petria Ann Thomas (-Jones),F,28,173,64,Gold,Swimming Women's 4 x 100 metres Medley Relay,AUS,2004 Summer
635,James Thompson,M,25,182,70,Gold,Rowing Men's Lightweight Coxless Fours,RSA,2012 Summer
636,"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",F,27,177,69,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,USA,2000 Summer
637,"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",F,27,177,69,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2000 Summer
638,"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",F,27,177,69,Gold,Swimming Women's 4 x 100 metres Medley Relay,USA,2000 Summer
639,Ian James Thorpe,M,21,196,104,Gold,Swimming Men's 200 metres Freestyle,AUS,2004 Summer
640,Ian James Thorpe,M,21,196,104,Gold,Swimming Men's 400 metres Freestyle,AUS,2004 Summer
641,Tian Liang,M,21,172,60,Gold,Diving Men's Platform,CHN,2000 Summer
642,Tian Liang,M,24,172,60,Gold,Diving Men's Synchronized Platform,CHN,2004 Summer
643,Anzhelika Igorevna Timanina,F,23,176,58,Gold,Synchronized Swimming Women's Team,RUS,2012 Summer
644,Gelena Dmitriyevna Topilina,F,22,175,56,Gold,Synchronized Swimming Women's Team,RUS,2016 Summer
650,"Andrew ""Andy"" Triggs Hodge",M,29,192,97,Gold,Rowing Men's Coxless Fours,GBR,2008 Summer
651,Olaf Karl Tufte,M,28,193,94,Gold,Rowing Men's Single Sculls,NOR,2004 Summer
652,Blair Tuke,M,27,181,78,Gold,Sailing Men's Skiff,NZL,2016 Summer
653,Anna Tunnicliffe (-Funk),F,25,168,66,Gold,Sailing Women's One Person Dinghy,USA,2008 Summer
654,Mark David Turnbull,M,26,185,70,Gold,Sailing Men's Two Person Dinghy,AUS,2000 Summer
673,Dniel Rudolf Varga,M,24,201,96,Gold,Water Polo Men's Water Polo,HUN,2008 Summer
674,Dnes Andor Varga,M,21,193,96,Gold,Water Polo Men's Water Polo,HUN,2008 Summer
675,Tams Varga,M,29,201,105,Gold,Water Polo Men's Water Polo,HUN,2004 Summer
676,Zsolt Varga,M,28,193,96,Gold,Water Polo Men's Water Polo,HUN,2000 Summer
677,Attila Vri,M,24,200,93,Gold,Water Polo Men's Water Polo,HUN,2000 Summer
678,Attila Vri,M,28,200,93,Gold,Water Polo Men's Water Polo,HUN,2004 Summer
679,Yuliya Olegovna Vasilyeva,F,22,177,60,Gold,Synchronized Swimming Women's Team,RUS,2000 Summer
680,Olga Petrovna Vasyukova,F,20,170,56,Gold,Synchronized Swimming Women's Team,RUS,2000 Summer
681,"Magdalena Johanna Maria ""Marleen"" Veldhuis",F,29,182,67,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,NED,2008 Summer
682,Erik K. Vendt,M,27,180,75,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2008 Summer
685,Sbastien Jean Servais Vielledent,M,27,190,85,Gold,Rowing Men's Double Sculls,FRA,2004 Summer
686,Dana Whitney Vollmer (-Grant),F,24,185,68,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2012 Summer
687,Dana Whitney Vollmer (-Grant),F,24,185,68,Gold,Swimming Women's 100 metres Butterfly,USA,2012 Summer
688,Dana Whitney Vollmer (-Grant),F,24,185,68,Gold,Swimming Women's 4 x 100 metres Medley Relay,USA,2012 Summer
689,Dana Whitney Vollmer (-Grant),F,28,185,68,Gold,Swimming Women's 4 x 100 metres Medley Relay,USA,2016 Summer
690,Bryan Daniel Volpenhein,M,27,191,102,Gold,Rowing Men's Coxed Eights,USA,2004 Summer
691,Shannon Vreeland,F,20,188,79,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2012 Summer
692,"Robert Norman ""Rob"" Waddell",M,25,200,103,Gold,Rowing Men's Single Sculls,NZL,2000 Summer
710,Ferry Weertman,M,24,189,86,Gold,Swimming Men's 10 kilometres Open Water,NED,2016 Summer
711,Phillipp Wende,M,27,199,90,Gold,Rowing Men's Quadruple Sculls,GER,2012 Summer
712,Lauren Ashley Wenger (-Trapani),F,28,191,77,Gold,Water Polo Women's Water Polo,USA,2012 Summer
713,Kieran Martin West,M,22,204,100,Gold,Rowing Men's Coxed Eights,GBR,2000 Summer
714,Mary Rebecca Whipple,F,28,160,48,Gold,Rowing Women's Coxed Eights,USA,2008 Summer
715,Tarnee Renee White (-Southwell),F,27,165,58,Gold,Swimming Women's 4 x 100 metres Medley Relay,AUS,2008 Summer
718,Kristof Wilke,M,27,190,87,Gold,Rowing Men's Coxed Eights,GER,2012 Summer
719,Laura Ann Wilkinson (-Hulseman),F,22,168,57,Gold,Diving Women's Platform,USA,2000 Summer
720,"Stephen David ""Steve"" Williams",M,28,189,98,Gold,Rowing Men's Coxless Fours,GBR,2004 Summer
721,Nathan James Wilmot,M,28,183,64,Gold,Sailing Men's Two Person Dinghy,AUS,2008 Summer
722,"Madison ""Madi"" Wilson",F,22,179,61,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2016 Summer
723,"Philippa Claire ""Pippa"" Wilson",F,22,171,63,Gold,Sailing Women's Three Person Keelboat,GBR,2008 Summer
724,Elsie Windes,F,27,178,70,Gold,Water Polo Women's Water Polo,USA,2012 Summer
725,Taryn Nadine Woods,F,25,175,76,Gold,Water Polo Women's Water Polo,AUS,2000 Summer
726,Kelsi Worrell,F,22,180,75,Gold,Swimming Women's 4 x 100 metres Medley Relay,USA,2016 Summer
727,Wu Minxia,F,22,167,52,Gold,Diving Women's Synchronized Springboard,CHN,2008 Summer
728,Wu Minxia,F,26,167,52,Gold,Diving Women's Springboard,CHN,2012 Summer
729,Wu Minxia,F,26,167,52,Gold,Diving Women's Synchronized Springboard,CHN,2012 Summer
374,Ryan Steven Lochte,M,20,188,88,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2004 Summer
375,Ryan Steven Lochte,M,24,188,88,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2008 Summer
376,Ryan Steven Lochte,M,24,188,88,Gold,Swimming Men's 200 metres Backstroke,USA,2008 Summer
377,Ryan Steven Lochte,M,27,188,88,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2012 Summer
378,Ryan Steven Lochte,M,27,188,88,Gold,Swimming Men's 400 metres Individual Medley,USA,2012 Summer
